h_471	h_472	h_499	h_501	w_473	w_477	w_498	w_502
0610009O20Rik	573	530	613	558	519	630	622	506
1600014C23Rik	0	0	0	0	0	0	0	0
1700015F17Rik	2	0	1	4	2	8	2	2
1700028P14Rik	4	7	18	11	7	6	2	4
1700067P10Rik	0	0	0	0	0	0	0	0
1700123K08Rik	0	0	1	0	0	0	0	0
1810049J17Rik	187	122	128	177	97	129	175	139
1810055G02Rik	434	461	468	507	502	509	534	465
2010001E11Rik	0	0	0	0	0	0	1	1
2010003K11Rik	0	0	0	0	0	0	0	0
2310039H08Rik	23	13	27	36	14	28	35	17
2410015M20Rik	346	239	358	401	378	378	411	419
2510009E07Rik	1249	1559	1235	1383	1576	1363	1517	1341
2610318N02Rik	1	13	22	9	19	8	7	7
2700062C07Rik	176	173	178	166	215	158	171	163
2810403A07Rik	1238	1295	1146	1194	1219	1228	1313	1050
2900055J20Rik	53	45	65	40	32	32	61	36
3100002H09Rik	0	0	1	1	0	0	0	0
3110018I06Rik	0	0	0	0	0	0	0	0
3110021N24Rik	83	74	57	73	66	70	75	61
3110070M22Rik	14	9	14	23	16	14	12	8
3110082I17Rik	129	203	169	184	146	120	153	148
4921501E09Rik	0	0	0	1	1	0	0	1
4921524L21Rik	0	0	0	0	0	0	0	0
4930426L09Rik	11	11	12	3	13	8	0	7
4930442H23Rik	0	0	2	6	0	0	0	0
4930507D05Rik	36	17	18	20	26	22	34	16
4930518I15Rik	2	13	12	5	9	14	12	15
4930519P11Rik	1	2	0	1	0	0	0	0
4930524J08Rik	0	0	4	1	5	2	0	3
4930535I16Rik	8	26	17	24	10	13	17	13
4930546C10Rik	0	0	0	0	0	0	0	0
4930553M12Rik	0	0	0	0	0	0	0	0
4930583I09Rik	0	0	0	0	0	0	0	0
4931409K22Rik	0	0	0	0	1	0	1	0
4933415A04Rik	2	12	1	3	3	7	2	3
4933427I04Rik	1	7	6	2	3	1	2	2
5330417H12Rik	0	0	0	0	0	0	0	0
5730596B20Rik	0	0	0	0	0	0	0	0
5930422O12Rik	11	15	11	12	8	9	13	4
6030445D17Rik	1	7	0	0	2	6	1	2
6030452D12Rik	0	0	0	0	0	0	0	0
8030462N17Rik	446	387	389	411	385	418	380	371
9030612E09Rik	35	36	15	45	25	27	42	37
9130008F23Rik	0	0	0	1	1	1	0	0
9130011E15Rik	346	315	335	379	340	355	331	394
9130213A22Rik	2	25	17	15	15	18	16	8
9330161L09Rik	6	1	1	1	2	4	4	4
9430097D07Rik	5	8	3	23	6	18	24	21
9830107B12Rik	0	0	0	0	0	0	0	0
9930104L06Rik	216	236	217	224	225	245	292	238
9930111J21Rik1	10	1	5	8	5	11	5	3
9930111J21Rik2	20	19	9	18	19	15	16	16
a	0	0	0	0	0	0	0	0
A1bg	0	0	0	0	0	0	0	0
A1cf	0	0	0	0	0	0	0	0
A230072I06Rik	0	0	0	0	0	0	0	0
A2m	11	12	10	32	19	9	11	17
A3galt2	5	8	0	1	12	1	7	1
A4galt	29	28	22	26	32	33	22	23
A4gnt	2	1	1	7	1	3	3	3
A530064D06Rik	0	1	0	0	0	0	0	0
A530084C06Rik	40	25	30	31	16	30	38	37
A730015C16Rik	78	55	52	52	38	55	45	70
A730061H03Rik	2	0	3	3	8	5	4	0
A730071L15Rik	12	8	12	18	8	12	13	21
A930002H24Rik	0	0	0	1	1	0	0	0
A930003A15Rik	1	4	0	8	0	1	2	2
Aaas	174	201	213	234	183	192	167	196
Aacs	743	689	681	727	670	692	746	713
Aadac	0	0	0	0	0	0	0	0
Aadacl2	0	0	0	0	0	0	0	0
Aadacl3	0	0	0	0	0	0	0	0
Aadacl4	0	0	0	0	0	0	0	0
Aadat	1	1	0	0	3	0	0	1
Aaed1	270	310	237	296	264	278	277	218
Aagab	1045	1151	1046	1241	1068	1104	1137	1092
Aak1	9055	9081	8140	9192	9115	9127	9309	8818
Aamdc	153	200	172	170	178	182	187	208
Aamp	1685	1832	1837	2092	1880	1891	1969	1859
Aanat	0	3	0	2	1	2	1	3
Aar2	653	679	650	742	673	742	647	596
Aard	18	17	27	53	20	25	32	34
Aars	2770	2801	2895	2992	2767	2964	2807	2616
Aars2	502	412	313	425	389	435	390	380
Aarsd1	77	52	45	56	44	59	46	43
Aasdh	180	174	154	132	184	167	155	153
Aasdhppt	459	510	506	563	558	538	528	498
Aass	77	51	61	86	94	67	74	81
Aatf	192	215	214	185	187	205	181	176
Aatk	6180	5899	5540	6640	6060	5551	6688	6010
Abat	5305	5858	4496	5494	5201	5286	5373	5213
Abca1	691	737	589	678	637	580	546	593
