Gene	Direction
ABCD2	Downreg
ABHD14A	Upreg
ABHD15	Upreg
ACACB	Upreg
ACBD4	Upreg
ACE	Downreg
ACTG1	Upreg
ACTL6B	Upreg
ADAM33	Downreg
ADAMTS2	Upreg
ADGRA3	Downreg
ADGRD1	Downreg
ADIPOR2	Upreg
ADK	Downreg
ADPRM	Downreg
ADRA1B	Downreg
ADRA2C	Upreg
AFF1	Upreg
ALDH1A1	Upreg
ALOX12B	Upreg
AMACR	Downreg
AMZ1	Upreg
ANKRD35	Upreg
ANKRD40	Downreg
ANKRD6	Downreg
AP2A1	Upreg
AP2B1	Downreg
ARHGAP22	Upreg
ARHGAP35	Downreg
ARHGAP44	Upreg
ARMCX4	Downreg
ARPP21	Downreg
ASAH2	Downreg
ASAH2B	Downreg
ASTN2	Upreg
ATF7IP	Downreg
ATOX1	Upreg
ATP1A1	Downreg
ATP9B	Downreg
B3GALT2	Upreg
B3GAT1	Downreg
B3GLCT	Downreg
B4GALT2	Downreg
BAZ2B	Upreg
BMS1	Downreg
BTBD9	Upreg
C1QA	Upreg
C1QB	Upreg
C1QC	Upreg
C2CD4C	Downreg
C4A	Upreg
C4B	Upreg
CALN1	Upreg
CAP2	Downreg
CARNMT1	Upreg
CCDC136	Downreg
CCDC30	Upreg
CCDC66	Downreg
CCDC74B	Upreg
CCDC74A	Upreg
CCKBR	Downreg
CCL23	Downreg
CCL15	Downreg
CCL15-CCL14	Downreg
CDADC1	Downreg
CDH6	Downreg
CDK14	Upreg
CDK18	Upreg
CEBPA	Upreg
CELF2	Upreg
CELSR2	Upreg
CENPW	Upreg
CERS6	Upreg
CHM	Upreg
CHN2	Downreg
CHRM3	Downreg
CLEC4C	Upreg
CLIC1	Upreg
CMYA5	Downreg
CNIH3	Upreg
CNTN6	Downreg
COA6	Downreg
COL12A1	Upreg
COL8A1	Downreg
COPS8	Upreg
CORO6	Downreg
COX6C	Downreg
CPLX2	Upreg
CRHR1	Downreg
CRTAC1	Upreg
CSF1R	Upreg
CSTF2	Downreg
CTNNBIP1	Downreg
CTPS2	Downreg
CTSS	Upreg
CUL4B	Downreg
CUX1	Downreg
CUX2	Downreg
CX3CL1	Downreg
DCLRE1A	Downreg
DDN	Upreg
DDX31	Upreg
DGKD	Downreg
DIRAS2	Upreg
DIS3L	Downreg
DKK3	Upreg
DLG1	Downreg
DLGAP1	Downreg
DOLK	Downreg
DPF3	Downreg
DPY19L3	Downreg
DUS3L	Downreg
ECD	Downreg
EDN3	Upreg
EFNA5	Downreg
EFNB2	Upreg
EHD1	Upreg
EIF1AD	Upreg
EMB	Downreg
EML6	Upreg
EMX1	Downreg
EMX2	Downreg
ENDOG	Upreg
EPB41L1	Downreg
EPHA7	Upreg
ERRFI1	Upreg
ETNK2	Downreg
ETV4	Downreg
EXOC3	Downreg
F2RL2	Downreg
FAM110B	Upreg
FAM124A	Upreg
FAM13A	Upreg
FAM169A	Downreg
FANCD2	Upreg
FCER1G	Upreg
FEN1	Downreg
FIBCD1	Upreg
FMO2	Upreg
FNDC4	Downreg
FRMPD3	Upreg
FZD3	Downreg
GABRA5	Upreg
GABRG3	Downreg
GALNT14	Upreg
GALT	Downreg
GBE1	Upreg
GDPGP1	Upreg
GIN1	Upreg
GLI3	Downreg
GLUL	Downreg
GNA13	Upreg
GNG13	Upreg
GPC4	Upreg
GPR137C	Downreg
GRIA1	Upreg
GTF3C4	Downreg
HABP4	Downreg
HIST1H4H	Downreg
HIVEP1	Downreg
HMCN1	Downreg
HMOX1	Upreg
HPCAL4	Upreg
HRH1	Downreg
HRH2	Downreg
HS6ST2	Upreg
HSCB	Upreg
HTR1B	Upreg
HTR7	Downreg
ICA1L	Downreg
IGFN1	Downreg
ILDR2	Downreg
INPP5D	Upreg
ISLR2	Upreg
ITGB3	Downreg
ITGB5	Upreg
ITM2C	Upreg
ITPKB	Downreg
KAT2B	Upreg
KCNQ4	Upreg
KCNU1	Downreg
KCTD15	Downreg
KCTD8	Upreg
KIF9	Upreg
KITLG	Downreg
KLF13	Upreg
KLHL23	Downreg
KLHL26	Upreg
KLHL3	Upreg
KRR1	Downreg
KSR1	Upreg
LAMB3	Upreg
LAMP5	Downreg
LDHB	Downreg
LHFPL6	Upreg
LIFR	Downreg
LIPA	Upreg
LIPE	Downreg
LRFN5	Downreg
LRRC75A	Downreg
LRRN1	Upreg
LUC7L	Upreg
MAD2L2	Downreg
MAGI1	Downreg
MAN1C1	Downreg
MAP6D1	Downreg
MAPK1	Upreg
MAPK12	Upreg
MAST2	Downreg
MAST3	Downreg
MAT2A	Upreg
MCL1	Upreg
MDGA1	Upreg
ME3	Upreg
MED27	Upreg
MEF2C	Upreg
MEN1	Downreg
MET	Downreg
MICAL1	Downreg
MICU2	Downreg
MMP17	Upreg
MPP3	Downreg
MRGPRE	Upreg
MTIF3	Upreg
MTPN	Upreg
MTRF1	Downreg
MXI1	Downreg
MYLK3	Downreg
NELL2	Upreg
NEU4	Upreg
NEUROD1	Downreg
NEUROD6	Upreg
NFATC2	Downreg
NFKBIZ	Upreg
NFYA	Downreg
NHSL2	Upreg
NPHP4	Upreg
NPNT	Downreg
NRROS	Upreg
NRSN1	Downreg
NRXN3	Downreg
NTN5	Upreg
NUP54	Downreg
NWD1	Downreg
NWD2	Upreg
NXPH4	Upreg
OPHN1	Downreg
ORMDL2	Downreg
OSBPL5	Downreg
OTUD5	Downreg
PAG1	Upreg
PAK5	Downreg
PARP8	Downreg
PARVA	Downreg
PBX1	Upreg
PBX4	Upreg
PCBD2	Upreg
PCBP3	Upreg
PCDHA6	Upreg
PCDHA8	Upreg
PCMT1	Downreg
PCSK9	Upreg
PDGFC	Downreg
PDP1	Downreg
PHF8	Upreg
PIP5K1B	Downreg
PLAU	Downreg
PLCG1	Downreg
PLEKHA1	Upreg
PLEKHA2	Downreg
PLK5	Downreg
PLXNC1	Downreg
PMEPA1	Upreg
PNMA2	Upreg
POLM	Upreg
POLR3K	Upreg
PPCDC	Downreg
PPP1R37	Downreg
PPP1R3D	Upreg
PPP6R1	Downreg
PRMT8	Downreg
PRSS23	Upreg
PSD	Upreg
PSD2	Downreg
PSD3	Downreg
PSMC2	Upreg
PTBP3	Downreg
PTP4A2	Downreg
PTPDC1	Upreg
PTPN5	Downreg
PTPRE	Upreg
PTPRU	Upreg
PUF60	Downreg
R3HDM2	Downreg
RAB40B	Upreg
RAB6B	Downreg
RABGAP1L	Upreg
RAI14	Upreg
RAMP3	Downreg
RANGRF	Downreg
RASAL3	Upreg
RASD2	Upreg
RASGEF1C	Downreg
RASGRF2	Downreg
RASL10A	Upreg
RASSF4	Downreg
RBFOX1	Upreg
RCAN2	Downreg
REPS2	Downreg
REXO2	Upreg
RFC5	Downreg
RFESD	Upreg
RGS19	Upreg
RGS4	Downreg
RGS6	Downreg
RHBDL3	Upreg
RHOU	Upreg
RIMBP2	Downreg
RMND5A	Downreg
RMND5B	Upreg
RNF19B	Downreg
RNF2	Upreg
RPA3	Downreg
RPL38	Upreg
RPLP1	Upreg
RPP14	Downreg
RPP30	Upreg
RPRML	Upreg
RRAGD	Downreg
RRAS2	Downreg
RSPO1	Downreg
RSPO2	Upreg
SAP30L	Downreg
SCAMP2	Upreg
SCFD2	Downreg
SCNN1A	Upreg
SCRN2	Downreg
SCRT2	Upreg
SDC4	Upreg
SDK2	Upreg
SEMA3A	Downreg
SEPT8	Downreg
SH3BP5	Upreg
SHISA6	Upreg
SIAE	Upreg
SIPA1L3	Upreg
SLC17A8	Downreg
SLC23A3	Downreg
SLC25A18	Downreg
SLC25A27	Downreg
SLC26A10	Upreg
SLC2A5	Downreg
SLC2A8	Upreg
SLC36A4	Downreg
SLC39A11	Upreg
SLCO3A1	Upreg
SMG6	Downreg
SMPD2	Downreg
SMPD3	Upreg
SMYD3	Upreg
SNED1	Downreg
SOWAHB	Downreg
SP4	Downreg
SPAG5	Downreg
SPATS2L	Downreg
SPON1	Upreg
SPP1	Upreg
SPRED1	Downreg
SRC	Downreg
ST8SIA3	Upreg
ST8SIA4	Upreg
STAB1	Upreg
STAC2	Upreg
STC1	Upreg
STOX1	Downreg
STXBP5	Upreg
SULF1	Upreg
SUSD2	Upreg
SUSD5	Downreg
SUSD6	Upreg
SYNJ2	Downreg
SYT17	Downreg
TCAP	Downreg
TCF20	Downreg
TDG	Downreg
THRA	Upreg
THSD7A	Downreg
TMEM120B	Upreg
TMEM132B	Downreg
TMEM144	Downreg
TMEM161B	Downreg
TMEM178B	Downreg
TMEM44	Downreg
TMEM60	Downreg
TMEM8B	Downreg
TMUB1	Upreg
TNC	Upreg
TNFRSF19	Downreg
TNNC1	Downreg
TOP3B	Downreg
TRADD	Upreg
TRIM2	Upreg
TRIM24	Downreg
TRMT5	Upreg
TRPC3	Downreg
TRPS1	Downreg
TSPAN11	Downreg
