h_471	h_472	h_499	h_501	w_473	w_477	w_498	w_502
0610009O20Rik	14.0942212480632	12.7314532169436	15.8451051619535	13.0098223224999	12.4969665275201	15.1802165366056	14.7453933330191	12.830181598294
1600014C23Rik	0	0	0	0	0	0	0	0
1700015F17Rik	0.105781353140406	0	0.0555811222109748	0.200534831549488	0.103552336894462	0.41449573278814	0.101950329229901	0.109044795414945
1700028P14Rik	0.272496665463073	0.465709274703779	1.28861117900191	0.71030453870841	0.466820615516165	0.400408608229096	0.131313903316854	0.280903413073521
1700067P10Rik	0	0	0	0	0	0	0	0
1700123K08Rik	0	0	0.0336983159608839	0	0	0	0	0
1810049J17Rik	23.9342904498399	15.249458674716	17.2161924521198	21.4735041536807	12.1535029511438	16.1740810536177	21.5872098634525	18.3395879838455
1810055G02Rik	13.6361269712972	14.14548617384	15.4523788988922	15.0994097274004	15.4403026964135	15.6664300406406	16.1704489782682	15.0608708268776
2010001E11Rik	0	0	0	0	0	0	0.0249410214614943	0.0266766042174854
2010003K11Rik	0	0	0	0	0	0	0	0
2310039H08Rik	1.75941896161216	0.97118156639391	2.1704679884353	2.61032532348117	1.04838368504018	2.09821707943078	2.58041163180208	1.34055975527583
2410015M20Rik	27.0988008427794	18.2804769074453	29.4649148055754	29.7693293412593	28.9812130999651	29.0012507713906	31.0238227685304	33.8285841415679
2510009E07Rik	14.3020117603511	17.4339764036863	14.861061748714	15.0109291892345	17.6661409695257	15.2890852652373	16.7417089539008	15.8292119469704
2610318N02Rik	0.0467444872770648	0.593457194326081	1.08069034142382	0.398771042500187	0.869430332139197	0.366329034985882	0.315360978874784	0.337306153722275
2700062C07Rik	10.0069160070824	9.6061493855245	10.63544773507	8.94636017250152	11.9667669323663	8.8002625267582	9.37050963534325	9.55368713829184
2810403A07Rik	10.8936219032727	11.1285112101091	10.5970372095421	9.95879249839132	10.5004072855597	10.5852464569897	11.1351454306373	9.52438134952407
2900055J20Rik	4.33469453594856	3.59427075082585	5.58655622554846	3.1009397188427	2.56202517616617	2.56379656573798	4.80830467000053	3.03515555038775
3100002H09Rik	0	0	0.0711794898417753	0.0642033051753514	0	0	0	0
3110018I06Rik	0	0	0	0	0	0	0	0
3110021N24Rik	2.70857474705045	2.35835999154629	1.95472549338663	2.25806425801323	2.10842158796043	2.23775083112582	2.35886730296004	2.05205214064801
3110070M22Rik	0.737172635509187	0.462806367381494	0.77467117083364	1.14794137543712	0.824730277100686	0.722137935173639	0.608978458124821	0.434237155027277
3110082I17Rik	2.64402050478607	4.06337395592497	3.64007223320139	3.57473321210643	2.9294004933465	2.40939113998513	3.02235903225155	3.12703432037061
4921501E09Rik	0	0	0	0.0143129431608993	0.0147818581011247	0	0	0.0155658939318064
4921524L21Rik	0	0	0	0	0	0	0	0
4930426L09Rik	0.445818739177763	0.435385504246714	0.511087275930389	0.115249113265418	0.515774388082287	0.317619074199548	0	0.2924553012054
4930442H23Rik	0	0	0.0998228026214776	0.270118002014852	0	0	0	0
4930507D05Rik	1.16071098723966	0.535286341916885	0.609877046550522	0.611226667590859	0.820626861736158	0.694856668733444	1.05652560378598	0.531786614062849
4930518I15Rik	0.0888531576340901	0.564029564855366	0.560237667605138	0.21055403988761	0.39141382938846	0.609286928024039	0.513811276088786	0.686957633023524
4930519P11Rik	0.118027497815343	0.230530738775524	0	0.111875220395373	0	0	0	0
4930524J08Rik	0	0	0.412203612815057	0.0929510537613297	0.47998139572143	0.192125302345415	0	0.303263883765941
4930535I16Rik	0.911472468678026	2.89296088948937	2.03540425576452	2.59188371875523	1.11533249179199	1.4509347255161	1.86673213616907	1.52683724138806
4930546C10Rik	0	0	0	0	0	0	0	0
4930553M12Rik	0	0	0	0	0	0	0	0
4930583I09Rik	0	0	0	0	0	0	0	0
4931409K22Rik	0	0	0	0	0.0171564185903985	0	0.0168910000117115	0
4933415A04Rik	0.0588668754658904	0.34493549067159	0.030930659348865	0.0836975889767274	0.0864396560338543	0.201831981383772	0.0567349268686058	0.0910244509262629
4933427I04Rik	0.0270873918485969	0.185174370335722	0.170791648094924	0.0513508799066256	0.079549825456717	0.0265349421242064	0.0522127659546629	0.0558461206018819
5330417H12Rik	0	0	0	0	0	0	0	0
5730596B20Rik	0	0	0	0	0	0	0	0
5930422O12Rik	0.774344691024234	1.03121339398694	0.813734096369724	0.800706934544026	0.551292917371471	0.620633342755099	0.881991717278201	0.290266860175972
6030445D17Rik	0.0342197780124346	0.233932668080371	0	0	0.0669974031527829	0.201131175892856	0.0329804595136079	0.0705509729594376
6030452D12Rik	0	0	0	0	0	0	0	0
8030462N17Rik	7.71584911551995	6.53846011541397	7.07207174130994	6.739712845767	6.52019197915205	7.0839600581292	6.33595346255574	6.61635198253656
9030612E09Rik	1.1132932620721	1.11830349772871	0.501396137427675	1.35676538128762	0.77845288224858	0.841310394697606	1.28756849363077	1.21321866786837
9130008F23Rik	0	0	0	0.0259608547559434	0.0268113739342309	0.0268299113743134	0	0
9130011E15Rik	7.06477715341798	6.28128600480995	7.1881207533413	7.33520544663432	6.79597967892317	7.10070836439421	6.51373186017932	8.29305248997234
