Estimate	Pval	FDR
0610009O20Rik	0.0142240035638489	0.880931944643007	0.987233456551987
1810049J17Rik	0.17023279294998	0.402560786324325	0.861937967357916
1810055G02Rik	-0.0882441809767668	0.0391667691912849	0.338996549420354
2310039H08Rik	0.0629773604673153	0.794959981142202	0.979768556125282
2410015M20Rik	-0.232435988629186	0.1384871240316	0.627295755442609
2510009E07Rik	-0.083948391962416	0.291216048411497	0.79363740074132
2700062C07Rik	-0.0128340872555761	0.904785941292719	0.989943289125835
2810403A07Rik	0.034558983841914	0.577279533838522	0.9361350075703
2900055J20Rik	0.284775819702389	0.186512278767913	0.696204980395018
3110021N24Rik	0.0906069168823576	0.294934790848096	0.795689978178056
3110082I17Rik	0.239943919832262	0.0927038481820037	0.525392486334329
4930507D05Rik	-0.0674348521397924	0.745097156572834	0.970354919032754
4930535I16Rik	0.22866905635029	0.19008481626945	0.699628565829654
5930422O12Rik	0.233184951521358	0.0186737864398332	0.221749065837245
8030462N17Rik	0.0822428648193638	0.152991983778521	0.651122530756472
9030612E09Rik	-0.0185786172618097	0.929211956606426	0.994124729992627
9130011E15Rik	-0.033024209082487	0.679058311239375	0.958586255205361
9930104L06Rik	-0.134098606588738	0.092215718508567	0.524074506525332
A530084C06Rik	0.0668388182765579	0.734016135205466	0.969170403821861
A730015C16Rik	0.17200292821265	0.355517424074675	0.837906204297954
A730071L15Rik	-0.014143145314402	0.926024470267841	0.994124729992627
Aaas	0.152309557579682	0.101882029096624	0.546765372219285
Aacs	0.0197686418226745	0.659136235460881	0.95332235508827
Aaed1	0.107092028040715	0.21949114314687	0.725472353799372
Aagab	0.0336200016423018	0.385975233686343	0.853059279710342
Aak1	-0.0254381871962052	0.279203188377357	0.7834763988238
Aamdc	-0.10338705002112	0.308102198140228	0.806481752114786
Aamp	-0.0220732636555606	0.700996922795128	0.962374450024589
Aar2	0.0446364207486708	0.427256152436893	0.875211056967703
Aars	0.0500654617837148	0.259024624641921	0.764242932767029
Aars2	0.0455232154063707	0.716625998635087	0.965317362961169
Aarsd1	0.211066468797299	0.12182583962349	0.592579633724155
Aasdh	-0.0443901751352654	0.720394139839375	0.965905086414504
Aasdhppt	-0.0488397927431342	0.363193573742185	0.841946330280094
Aass	-0.143039744535653	0.33905313186553	0.828476896306631
Aatf	0.101496112504187	0.227473191356388	0.733324321549386
Aatk	-0.00080241137151082	0.989489286154866	0.999560212462957
Abat	0.00635773079847399	0.912952032045916	0.99194825138431
Abca1	0.198049457852869	0.00793930645727947	0.12757466627657
Abca2	-0.0200469130165946	0.775618584531503	0.976368658026687
Abca3	0.0138684024139562	0.728500013970889	0.967558605605204
Abca5	-0.0208751895510114	0.587280071394333	0.937077583060987
Abca6	-0.0719642201867747	0.400323951631658	0.861634191601501
Abca7	-0.0755606543580651	0.476336354045241	0.896293463990022
Abca8a	0.0854983354840455	0.588859134615541	0.937184469792047
Abca8b	0.184073069213759	0.209197449968748	0.718134443796846
Abca9	0.116187709821515	0.299074721542346	0.798370335097635
Abcb10	-0.0034550516448755	0.971293919251978	0.998720153991374
Abcb1a	0.0684232405317334	0.742314306398847	0.969791410099686
Abcb1b	0.223377188338958	0.188015630698294	0.697895730442677
Abcb4	-0.326394221965725	0.0438552531003733	0.361416490352687
Abcb6	0.191936563630391	0.0390646992736179	0.338996549420354
Abcb7	0.0496090134114639	0.575106156666479	0.93501727282545
Abcb8	0.093493204678254	0.13514496952058	0.620159027474427
Abcb9	-0.145342670462242	0.0248577461112456	0.261798569508662
Abcc1	-0.00763388617961118	0.87714754939762	0.98634548575822
Abcc10	0.100162244123642	0.412192128362135	0.868802253301063
Abcc3	0.514825135459723	0.00375121069827711	0.0787690666795849
Abcc4	0.166206269695093	0.400166309425261	0.861634191601501
Abcc5	-0.00564794887147856	0.915876790628524	0.992468559246301
Abcc8	-0.131978283018625	0.0248718150223339	0.261798569508662
Abcc9	0.0876365868066665	0.60263536295353	0.940424361730587
Abcd1	-0.0376095044711738	0.625032844973061	0.945135460008003
Abcd2	-0.206903286166737	2.03239423735013e-07	3.55011984539266e-05
Abcd3	0.0058825209471434	0.875038724565349	0.986106313258111
Abcd4	-0.124283424027252	0.431537837635801	0.876192396453035
Abce1	-0.0127893056512547	0.786306362865381	0.977409913464011
