Gene	Direction
1	Abcd2	Downreg
2	Abhd14a	Upreg
3	Abhd15	Upreg
4	AC074312.5	Downreg
5	AC121838.2	Upreg
6	AC124566.2	Downreg
7	AC153919.1	Downreg
8	Acacb	Upreg
9	Acbd4	Upreg
10	Ace	Downreg
11	Actg1	Upreg
12	Actl6b	Upreg
13	Adam33	Downreg
14	Adamts2	Upreg
15	Adgra3	Downreg
16	Adgrd1	Downreg
17	Adipor2	Upreg
18	Adk	Downreg
19	Adprm	Downreg
20	Adra1b	Downreg
21	Adra2c	Upreg
22	Aff1	Upreg
23	Aldh1a7	Upreg
24	Alox12b	Upreg
25	Amacr	Downreg
26	Amz1	Upreg
27	Ankrd35	Upreg
28	Ankrd40	Downreg
29	Ankrd6	Downreg
30	Ap2a1	Upreg
31	Ap2b1	Downreg
32	Arhgap22	Upreg
33	Arhgap35	Downreg
34	Arhgap44	Upreg
35	Armcx4	Downreg
36	Arpp21	Downreg
37	Asah2	Downreg
38	Astn2	Upreg
39	Atf7ip	Downreg
40	Atox1	Upreg
41	Atp1a1	Downreg
42	Atp9b	Downreg
43	AW011738	Downreg
44	B3galt2	Upreg
45	B3gat1	Downreg
46	B3glct	Downreg
47	B4galt2	Downreg
48	Baz2b	Upreg
49	Bms1	Downreg
50	Btbd9	Upreg
51	C1qa	Upreg
52	C1qb	Upreg
53	C1qc	Upreg
54	C2cd4c	Downreg
55	C4b	Upreg
56	Caln1	Upreg
57	Cap2	Downreg
58	Carnmt1	Upreg
59	Ccdc136	Downreg
60	Ccdc30	Upreg
61	Ccdc66	Downreg
62	Ccdc74a	Upreg
63	Cckbr	Downreg
64	Ccl9	Downreg
65	Cdadc1	Downreg
66	Cdh6	Downreg
67	Cdk14	Upreg
68	Cdk18	Upreg
69	Cebpa	Upreg
70	Celf2	Upreg
71	Celsr2	Upreg
72	Cenpw	Upreg
73	Cers6	Upreg
74	Chm	Upreg
75	Chn2	Downreg
76	Chrm3	Downreg
77	Clec4a3	Upreg
78	Clic1	Upreg
79	Cmya5	Downreg
80	Cnih3	Upreg
81	Cntn6	Downreg
82	Cntnap5a	Downreg
83	Coa6	Downreg
84	Col12a1	Upreg
85	Col8a1	Downreg
86	Cops8	Upreg
87	Coro6	Downreg
88	Cox6c	Downreg
89	Cplx2	Upreg
90	Crhr1	Downreg
91	Crtac1	Upreg
92	Csf1r	Upreg
93	Cstf2	Downreg
94	Ctnnbip1	Downreg
95	Ctps2	Downreg
96	Ctss	Upreg
97	Cul4b	Downreg
98	Cux1	Downreg
99	Cux2	Downreg
100	Cx3cl1	Downreg
101	Dclre1a	Downreg
102	Ddn	Upreg
103	Ddx31	Upreg
104	Dgkd	Downreg
105	Diras2	Upreg
106	Dis3l	Downreg
107	Dkk3	Upreg
108	Dlg1	Downreg
109	Dlgap1	Downreg
110	Dolk	Downreg
111	Dpf3	Downreg
112	Dpy19l3	Downreg
113	Drd	Upreg
114	Dus3l	Downreg
115	Dusp3	Downreg
116	Ecd	Downreg
117	Edn3	Upreg
118	Efna5	Downreg
119	Efnb2	Upreg
120	Ehd1	Upreg
121	Eif1ad	Upreg
122	Emb	Downreg
123	Eml6	Upreg
124	Emx1	Downreg
125	Emx2	Downreg
126	Endog	Upreg
127	Epb41l1	Downreg
128	Epha7	Upreg
129	Errfi1	Upreg
130	Etnk2	Downreg
131	Etohi1	Upreg
132	Etv4	Downreg
133	Exoc3	Downreg
134	F2rl2	Downreg
135	Fam110b	Upreg
136	Fam124a	Upreg
137	Fam13a	Upreg
138	Fam169a	Downreg
139	Fancd2	Upreg
140	Fcer1g	Upreg
141	Fen1	Downreg
142	Fibcd1	Upreg
143	Fmo2	Upreg
144	Fndc4	Downreg
145	Frmpd3	Upreg
146	Fzd3	Downreg
147	Gabra5	Upreg
148	Gabrg3	Downreg
149	Galnt14	Upreg
150	Galt	Downreg
151	Gbe1	Upreg
152	Gdpgp1	Upreg
153	Gin1	Upreg
154	Gli3	Downreg
155	Glul	Downreg
156	Gna13	Upreg
157	Gng13	Upreg
158	Gpc4	Upreg
159	Gpr137c	Downreg
160	Gria1	Upreg
161	Gtf3c4	Downreg
162	Habp4	Downreg
163	hexb	Upreg
164	Hist1h4i	Downreg
165	Hivep1	Downreg
166	Hmcn1	Downreg
167	Hmox1	Upreg
168	Hpcal4	Upreg
169	Hrh1	Downreg
170	Hrh2	Downreg
171	Hs6st2	Upreg
172	Hscb	Upreg
173	Htr1b	Upreg
174	Htr7	Downreg
175	Ica1l	Downreg
176	Igfn1	Downreg
177	Ildr2	Downreg
178	Inpp5d	Upreg
179	Islr2	Upreg
180	Itgb3	Downreg
181	Itgb5	Upreg
182	Itm2c	Upreg
183	Itpkb	Downreg
184	Kat2b	Upreg
185	Kcnb2	Downreg
186	Kcnq4	Upreg
187	Kcnu1	Downreg
188	Kctd15	Downreg
189	Kctd8	Upreg
190	Kif9	Upreg
191	Kitl	Downreg
192	Klf13	Upreg
193	Klhl23	Downreg
194	Klhl26	Upreg
195	Klhl3	Upreg
196	Krr1	Downreg
197	Ksr1	Upreg
198	Lamb3	Upreg
199	Lamp5	Downreg
200	Ldhb	Downreg
201	Lhfp	Upreg
202	Lifr	Downreg
203	Lipa	Upreg
204	Lipe	Downreg
205	Lrfn5	Downreg
206	Lrrc75a	Downreg
207	Lrrn1	Upreg
208	Luc7l	Upreg
209	Mad2l2	Downreg
210	Magi1	Downreg
211	Man1c1	Downreg
212	Map6d1	Downreg
213	Mapk1	Upreg
214	Mapk12	Upreg
215	Mast2	Downreg
216	Mast3	Downreg
217	Mat2a	Upreg
218	Mcam	Downreg
219	Mcl1	Upreg
220	Mdga1	Upreg
221	Me3	Upreg
222	Med27	Upreg
223	Mef2c	Upreg
224	Men1	Downreg
225	Met	Downreg
226	Mgea5	Downreg
227	Mical1	Downreg
228	Micu2	Downreg
229	Mmp17	Upreg
230	Mpp3	Downreg
231	Mrgpre	Upreg
232	Mtif3	Upreg
233	Mtpn	Upreg
234	Mtrf1	Downreg
235	Mum1	Upreg
236	Mxi1	Downreg
237	Myh2	Downreg
238	Mylk3	Downreg
239	Nell2	Upreg
240	Neu4	Upreg
241	Neurod1	Downreg
242	Neurod6	Upreg
243	Nfatc2	Downreg
244	Nfkbiz	Upreg
245	Nfya	Downreg
246	Nhsl2	Upreg
247	Nphp4	Upreg
248	Npnt	Downreg
249	Nrros	Upreg
250	Nrsn1	Downreg
251	Nrxn3	Downreg
252	Ntn5	Upreg
253	Nup54	Downreg
254	Nwd1	Downreg
255	Nwd2	Upreg
256	Nxph4	Upreg
257	Olfm2	Downreg
258	Ophn1	Downreg
259	Ormdl2	Downreg
260	Osbpl5	Downreg
261	Osbpl7	Upreg
262	Otud5	Downreg
263	Pag1	Upreg
264	Pak7	Downreg
265	Parp8	Downreg
266	Parva	Downreg
267	Pbx1	Upreg
268	Pbx4	Upreg
269	Pcbd2	Upreg
270	Pcbp3	Upreg
271	Pcdha6	Upreg
272	Pcmt1	Downreg
273	Pcsk9	Upreg
274	Pdgfc	Downreg
275	Pdp1	Downreg
276	Pdzph1	Downreg
277	Phf8	Upreg
278	Pip5k1b	Downreg
279	Plau	Downreg
280	Plcg1	Downreg
281	Plcg2	Upreg
282	Plekha1	Upreg
283	Plekha2	Downreg
284	Plk5	Downreg
285	Plxnc1	Downreg
286	Pmepa1	Upreg
287	Pnma2	Upreg
288	Polm	Upreg
289	Polr3k	Upreg
290	Ppcdc	Downreg
291	Ppp1r37	Downreg
292	Ppp1r3d	Upreg
293	Ppp6r1	Downreg
294	Prkcdbp	Downreg
295	Prmt8	Downreg
296	Prss23	Upreg
297	Psd	Upreg
298	Psd2	Downreg
299	Psd3	Downreg
300	Psmc2	Upreg
301	Ptbp3	Downreg
302	Ptp4a2	Downreg
303	Ptpdc1	Upreg
304	Ptpn5	Downreg
305	Ptpre	Upreg
306	Ptpru	Upreg
307	Puf60	Downreg
308	R3hdm2	Downreg
309	Rab40b	Upreg
310	Rab6b	Downreg
311	Rabgap1l	Upreg
312	Rai14	Upreg
313	Ramp3	Downreg
314	Rangrf	Downreg
315	Rasal3	Upreg
316	Rasd2	Upreg
317	Rasgef1c	Downreg
318	Rasgrf2	Downreg
319	Rasl10a	Upreg
320	Rassf4	Downreg
321	Rbfox1	Upreg
322	Rcan2	Downreg
323	Reps2	Downreg
324	Rexo2	Upreg
325	Rfc5	Downreg
326	Rfesd	Upreg
327	Rgs19	Upreg
328	Rgs4	Downreg
329	Rgs6	Downreg
330	Rhbdl3	Upreg
331	Rhou	Upreg
332	Rimbp2	Downreg
333	Rltpr	Upreg
334	Rmnd5a	Downreg
335	Rmnd5b	Upreg
336	Rnf19b	Downreg
337	Rnf2	Upreg
338	RP23-161B9.10	Downreg
339	RP23-185A18.11	Downreg
340	RP23-218L17.1	Downreg
341	RP23-275N21.1	Upreg
342	RP23-313O9.1	Downreg
343	RP23-406N5.7	Upreg
344	RP23-79E13.7	Upreg
345	RP23-94B13.9	Upreg
346	RP24-229D22.2	Upreg
347	Rpa3	Downreg
348	Rpl38	Upreg
349	Rplp1	Upreg
350	Rpp14	Downreg
351	Rpp30	Upreg
352	Rprml	Upreg
353	Rragd	Downreg
354	Rras2	Downreg
355	Rspo1	Downreg
356	Rspo2	Upreg
357	Sap30l	Downreg
358	Scamp2	Upreg
359	Scfd2	Downreg
360	Scnn1a	Upreg
361	Scrn2	Downreg
362	Scrt2	Upreg
363	Sdc4	Upreg
364	Sdk2	Upreg
365	Sema3a	Downreg
366	Sept8	Downreg
367	Sh3bp5	Upreg
368	Shisa6	Upreg
369	Siae	Upreg
370	Sipa1l3	Upreg
371	Slc17a8	Downreg
372	Slc23a3	Downreg
373	Slc25a18	Downreg
374	Slc25a27	Downreg
375	Slc26a10	Upreg
376	Slc2a5	Downreg
377	Slc2a8	Upreg
378	Slc36a4	Downreg
379	Slc39a11	Upreg
380	Slco3a1	Upreg
381	Smg6	Downreg
382	Smpd2	Downreg
383	Smpd3	Upreg
384	Smyd3	Upreg
385	Sned1	Downreg
386	Sowahb	Downreg
387	Sp4	Downreg
388	Spag5	Downreg
389	Spats2l	Downreg
390	Spon1	Upreg
391	Spp1	Upreg
392	Spred1	Downreg
393	Src	Downreg
394	St8sia3	Upreg
395	St8sia4	Upreg
396	Stab1	Upreg
397	Stac2	Upreg
398	Stc1	Upreg
399	Stox1	Downreg
400	Stxbp5	Upreg
401	Sulf1	Upreg
402	Susd2	Upreg
403	Susd5	Downreg
404	Susd6	Upreg
405	Synj2	Downreg
406	Syt17	Downreg
407	Tcap	Downreg
408	Tcf20	Downreg
409	Tdg	Downreg
410	Thra	Upreg
411	Thsd7a	Downreg
412	Tinf2	Downreg
413	Tmem120b	Upreg
414	Tmem132b	Downreg
415	Tmem144	Downreg
416	Tmem161b	Downreg
417	Tmem178b	Downreg
418	Tmem44	Downreg
419	Tmem60	Downreg
420	Tmem8b	Downreg
421	Tmub1	Upreg
422	Tnc	Upreg
423	Tnfrsf19	Downreg
424	Tnnc1	Downreg
425	Tomm5	Downreg
426	Top3b	Downreg
427	Tpt1	Downreg
428	Tradd	Upreg
429	Trim2	Upreg
430	Trim24	Downreg
431	Trmt5	Upreg
432	Trpc3	Downreg
433	Trps1	Downreg
434	Tspan11	Downreg
435	Tssc4	Upreg
436	Ttc3	Downreg
437	Ttl	Downreg
438	Tuba8	Downreg
439	Txn1	Upreg
440	Uck1	Downreg
441	Ucp2	Upreg
442	Unc93b1	Upreg
443	Usp27x	Downreg
444	Vps54	Downreg
445	Vstm2b	Upreg
446	Was	Upreg
447	Wbscr17	Downreg
448	Wdfy4	Upreg
